features,Cluster.Index,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog?,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X437.3397_3.02_4389,4389,437.3397,3.02,"(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid",0.750447,11,0.00131226,3.00053,No,Glochidone,First Analog,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X247.1534_2.39_4390,4390,247.1534,2.39,NCGC00380346-01!2-(7-hydroxyoctyl)pentanedioic acid,0.756371,8,14.0156,53664.9,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X309.241_2.99_4392,4392,309.241,2.99,"Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14",0.797861,9,14.014,47468.6,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes
X439.355_2.78_4393,4393,439.355,2.78,Glochidone,0.730781,11,15.993,37776.2,Yes,Glochidone,First,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X272.1122_0.44_4394,4394,272.1122,0.44,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X592.5251_3.81_4397,4397,592.5251,3.81,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X241.1055_2.29_4399,4399,241.1055,2.29,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X426.237_2.42_4401,4401,426.237,2.42,Spectral Match to Phe-Gly-Phe from NIST14,0.828468,8,56.061,151444,Yes,Spectral Match to Phe-Gly-Phe from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X267.133_0.96_4403,4403,267.133,0.96,Spectral Match to Thr-Phe from NIST14,0.885403,6,0.00100708,3.76994,No,Spectral Match to Thr-Leu from NIST14,First,Carboxylic acids and derivatives,Dipeptides,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X351.1899_2.55_4406,4406,351.1899,2.55,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X659.483_3.51_4409,4409,659.483,3.51,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X302.1701_2.04_4410,4410,302.1701,2.04,Spectral Match to Leu-Val-Lys from NIST14,0.752025,10,244.068,158921,Yes,Spectral Match to Ile-Ile-Lys from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X247.2409_3.05_4413,4413,247.2409,3.05,Spectral Match to 15-OxoEDE from NIST14,0.930656,11,58.0061,190030,Yes,"Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14",First Analog,Prenol lipids,Sesquiterpenoids,Organic compounds,Aliphatic homomonocyclic compounds,Sesquiterpenoids,Lipids and lipid-like molecules,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,Yes
X404.2541_3.51_4415,4415,404.2541,3.51,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X283.2012_2.24_4416,4416,283.2012,2.24,Spectral Match to L-Saccharopine from NIST14,0.741364,5,24.0722,92896.6,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes
X664.5469_3.59_4418,4418,664.5469,3.59,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X585.4851_3.84_4419,4419,585.4851,3.84,"(1R,2R,5S,8R,14R,15R,16S)-16-hydroxy-1,2,14,17,17-pentamethyl-8-(prop-1-en-2-yl)pentacyclo[11.7.0.0 , ?.0?,?.0 ?, ?]icosane-5,15-dicarboxylic acid",0.803272,10,81.1171,160829,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X638.5329_3.88_4420,4420,638.5329,3.88,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X162.0547_0.76_4422,4422,162.0547,0.76,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X420.2758_2.94_4425,4425,420.2758,2.94,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA
X238.1071_2.15_4427,4427,238.1071,2.15,Massbank:PR311113 Caffeoyl lysine,0.723754,7,71.0389,229791,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X286.1388_0.48_4428,4428,286.1388,0.48,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes
X636.5166_3.58_4429,4429,636.5166,3.58,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X459.3454_2.94_4430,4430,459.3454,2.94,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X659.4832_3.62_4432,4432,659.4832,3.62,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X218.1021_2.2_4435,4435,218.1021,2.2,"Massbank:LU085302 PharmaGSID_47261|(2S,3S)-3-methyl-2-(3-oxo-1,2-benzothiazol-2-yl)pentanoic acid",0.789788,4,47.9829,180329,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X536.4292_3.59_4438,4438,536.4292,3.59,Cer(d18:1/22:1); [M+H]+ C40H78N1O3,0.729027,8,83.1608,134219,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X311.0691_2.29_4439,4439,311.0691,2.29,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X578.5092_3.76_4440,4440,578.5092,3.76,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes
X370.233_2.21_4441,4441,370.233,2.21,NA,NA,NA,NA,NA,No,Spectral Match to His-Ile from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA
X541.3845_3.59_4444,4444,541.3845,3.59,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X325.2358_2.9_4448,4448,325.2358,2.9,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA
X490.2615_2.48_4449,4449,490.2615,2.48,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X645.5035_3.94_4450,4450,645.5035,3.94,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X881.5398_2.69_4451,4451,881.5398,2.69,Spectral Match to Cholic acid from NIST14,0.795534,14,63.9588,78229.3,Yes,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X564.4598_3.6_4453,4453,564.4598,3.6,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X682.5581_3.76_4454,4454,682.5581,3.76,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X303.1659_0.46_4455,4455,303.1659,0.46,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes
X473.3245_2.96_4460,4460,473.3245,2.96,Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14,0.846867,12,430.285,81560,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X622.5375_3.98_4462,4462,622.5375,3.98,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X383.3653_3.29_4465,4465,383.3653,3.29,Spectral Match to Zymosterol from NIST14,0.828267,13,16.0293,43636.6,Yes,Spectral Match to Zymosterol from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes
X246.0943_0.26_4469,4469,246.0943,0.26,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes
X654.5278_3.52_4470,4470,654.5278,3.52,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X668.5789_3.81_4471,4471,668.5789,3.81,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X153.0995_0.26_4474,4474,153.0995,0.26,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X619.4889_3.79_4475,4475,619.4889,3.79,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X521.3455_2.56_4477,4477,521.3455,2.56,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X273.1117_2.32_4478,4478,273.1117,2.32,"NCGC00169431-02!5-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]benzene-1,3-diol",0.80452,8,14.0157,54094.6,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X395.3652_3.81_4481,4481,395.3652,3.81,Spectral Match to Zymosterol from NIST14,0.735923,10,28.0282,76301,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X603.4957_3.85_4482,4482,603.4957,3.85,"(1R,2R,5S,8R,14R,15R,16S)-16-hydroxy-1,2,14,17,17-pentamethyl-8-(prop-1-en-2-yl)pentacyclo[11.7.0.0 , ?.0?,?.0 ?, ?]icosane-5,15-dicarboxylic acid",0.701941,9,99.1277,196538,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X172.0967_2.2_4483,4483,172.0967,2.2,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X629.5088_4.12_4484,4484,629.5088,4.12,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X648.5535_3.85_4488,4488,648.5535,3.85,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X415.3551_3.41_4489,4489,415.3551,3.41,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA
X601.3554_2.3_4490,4490,601.3554,2.3,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA
X636.5165_3.68_4491,4491,636.5165,3.68,NA,NA,NA,NA,NA,No,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X561.2866_2.15_4494,4494,561.2866,2.15,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA
X531.3296_2.89_4495,4495,531.3296,2.89,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X645.5036_4.01_4496,4496,645.5036,4.01,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X650.5689_4.22_4499,4499,650.5689,4.22,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X290.159_0.55_4501,4501,290.159,0.55,OCTANOYLCARNITINE,0.772067,6,1.94199,6737.93,Yes,OCTANOYLCARNITINE,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes
